Year_Numeric,College,Course,Subject,Avg_Grade,Std_Grade,Student_Cnt,Fail_Count,Fail_Rate
2022.0,CEA,Bachelor of Science in Architecture,MATH2013,3.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Architecture,NGEC0103,1.63,0.43,146,2,1.37
2022.0,CEA,Bachelor of Science in Architecture,NGEC0113,2.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Architecture,NGEC0303,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Architecture,NGEC0513,1.76,0.93,124,7,5.65
2022.0,CEA,Bachelor of Science in Architecture,NGEC0723,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Architecture,NGEC0823,2.0,1.06,2,0,0.0
2022.0,CEA,Bachelor of Science in Architecture,NGEC0913,1.81,0.46,122,2,1.64
2022.0,CEA,Bachelor of Science in Architecture,NSTP0113,1.66,0.46,144,2,1.39
2022.0,CEA,Bachelor of Science in Architecture,PEDU0112,1.39,0.95,147,9,6.12
2022.0,CEA,Bachelor of Science in Architecture,PHED0422,1.22,0.65,121,3,2.48
2022.0,CEA,Bachelor of Science in Architecture,PLAN0313,2.06,0.44,99,3,3.03
2022.0,CEA,Bachelor of Science in Architecture,PLAN0413,1.69,0.42,96,1,1.04
2022.0,CEA,Bachelor of Science in Architecture,PRCT0413,2.51,0.95,110,22,20.0
2022.0,CEA,Bachelor of Science in Architecture,TROP0212,1.79,0.8,120,9,7.5
2022.0,CEA,Bachelor of Science in Architecture,UTIL0213,2.49,0.77,128,11,8.59
2022.0,CEA,Bachelor of Science in Architecture,UTIL0313,2.63,1.12,103,24,23.3
2022.0,CEA,Bachelor of Science in Architecture,UTIL0414,2.56,0.51,100,23,23.0
2022.0,CEA,Bachelor of Science in Architecture,VTCH0212,2.31,0.62,124,5,4.03
2022.0,CEA,Bachelor of Science in Civil Engineering,ARDP0111,2.22,0.59,213,11,5.16
2022.0,CEA,Bachelor of Science in Civil Engineering,BECC0201,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,BECC0703,1.65,0.57,215,4,1.86
2022.0,CEA,Bachelor of Science in Civil Engineering,BMEC0123,2.0,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,BTIP0112,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,CEBD0313,1.87,0.5,175,6,3.43
2022.0,CEA,Bachelor of Science in Civil Engineering,CECP0412,2.68,1.36,214,53,24.77
2022.0,CEA,Bachelor of Science in Civil Engineering,CEEN0313,1.45,0.47,175,2,1.14
2022.0,CEA,Bachelor of Science in Civil Engineering,CEFS0214,3.04,1.26,205,65,31.71
2022.0,CEA,Bachelor of Science in Civil Engineering,CEHR0313,3.06,1.12,175,77,44.0
2022.0,CEA,Bachelor of Science in Civil Engineering,CEHY0322,2.08,0.41,220,1,0.45
2022.0,CEA,Bachelor of Science in Civil Engineering,CEMT0413,2.24,0.59,175,11,6.29
2022.0,CEA,Bachelor of Science in Civil Engineering,CEPC0501,1.81,0.47,84,1,1.19
2022.0,CEA,Bachelor of Science in Civil Engineering,CEPC0502,1.38,0.45,84,1,1.19
2022.0,CEA,Bachelor of Science in Civil Engineering,CEPC0506,2.5,0.45,94,21,22.34
2022.0,CEA,Bachelor of Science in Civil Engineering,CEPC0507,2.16,0.57,97,7,7.22
2022.0,CEA,Bachelor of Science in Civil Engineering,CESM0414,1.59,0.37,157,1,0.64
2022.0,CEA,Bachelor of Science in Civil Engineering,CEST0314,3.67,1.25,176,121,68.75
2022.0,CEA,Bachelor of Science in Civil Engineering,CETE0413,1.37,0.36,163,1,0.61
2022.0,CEA,Bachelor of Science in Civil Engineering,CSCC0103,1.5,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,CTCC0113,1.75,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,CTCC0213,1.75,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,ECCE0313,3.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,ECIE0314,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,ECME0313,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,EECO0313,2.32,0.43,203,6,2.96
2022.0,CEA,Bachelor of Science in Civil Engineering,EEEM0312,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,EGEC0103,1.96,0.38,223,2,0.9
2022.0,CEA,Bachelor of Science in Civil Engineering,EGEC0203,1.75,0.32,7,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,EGEC0303,1.5,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,EMAT0103,2.48,0.66,207,37,17.87
2022.0,CEA,Bachelor of Science in Civil Engineering,EMCC1013,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,EMGD0113,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,EMGD0213,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,EMGD0313,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,EMGT0312,1.45,0.35,174,1,0.57
2022.0,CEA,Bachelor of Science in Civil Engineering,ENDA0213,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,ENPS0104,1.62,0.29,206,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,FOLA0113,1.93,0.43,189,3,1.59
2022.0,CEA,Bachelor of Science in Civil Engineering,GECO0313,2.75,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,GEDB0313,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,GESB0313,3.88,1.18,209,146,69.86
2022.0,CEA,Bachelor of Science in Civil Engineering,GEUT0213,1.87,0.41,214,4,1.87
2022.0,CEA,Bachelor of Science in Civil Engineering,GEUT0313,1.53,0.38,170,1,0.59
2022.0,CEA,Bachelor of Science in Civil Engineering,ICTC1113,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,ICTC1413,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,ICTC1513,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Civil Engineering,MATH2013,2.2,0.86,209,19,9.09
2022.0,CEA,Bachelor of Science in Civil Engineering,MECA0311,1.0,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,MEFM0313,2.0,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,MEHT0312,2.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,MEME0313,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,MEVE0312,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0103,1.5,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0203,2.22,1.24,8,1,12.5
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0303,1.62,0.88,2,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0403,1.63,0.47,213,2,0.94
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0503,1.71,0.73,219,7,3.2
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0513,1.73,0.43,196,2,1.02
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0603,2.06,0.59,4,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0803,1.17,0.43,211,2,0.95
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0823,1.56,0.43,4,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC0913,1.47,0.35,187,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,NGEC1223,2.56,1.64,4,1,25.0
2022.0,CEA,Bachelor of Science in Civil Engineering,NSTP0113,1.55,0.32,203,1,0.49
2022.0,CEA,Bachelor of Science in Civil Engineering,PEDU0112,1.32,0.27,223,1,0.45
2022.0,CEA,Bachelor of Science in Civil Engineering,PHED0422,1.46,0.7,193,6,3.11
2022.0,CEA,Bachelor of Science in Civil Engineering,PRED2213,1.0,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,PRED2313,1.0,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,TEIP0113,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,THMC0613,1.75,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,THMC0813,2.0,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,TMPC0813,2.0,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,TMPE0313,1.75,,1,0,0.0
2022.0,CEA,Bachelor of Science in Civil Engineering,UIEC0101,2.17,1.4,6,1,16.67
2022.0,CEA,Bachelor of Science in Civil Engineering,UIEC0201,1.28,0.76,223,9,4.04
2022.0,CEA,Bachelor of Science in Civil Engineering,UIEC0301,1.23,0.76,221,9,4.07
