Student_ID,College,Course,Year_Numeric,Sem_Numeric,GWA
109_CAHS_Bachelor_of_Science_in_Midwifery_2sem_2022-2023,CAHS,Bachelor of Science in Midwifery,2022.0,2,1.17
109_CAHS_Bachelor_of_Science_in_Nursing_2sem_2022-2023,CAHS,Bachelor of Science in Nursing,2022.0,2,1.58
109_CBA_Bachelor_of_Science_in_Hospitality_Management_2sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,2022.0,2,1.55
109_CBA_Bachelor_of_Science_in_Tourism_Management_2sem_2022-2023,CBA,Bachelor of Science in Tourism Management,2022.0,2,1.46
109_CCST_Bachelor_of_Science_in_Computer_Science_2sem_2022-2023,CCST,Bachelor of Science in Computer Science,2022.0,2,1.53
109_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_2sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2022.0,2,1.58
109_CCST_Bachelor_of_Science_in_Information_Technology_2sem_2022-2023,CCST,Bachelor of Science in Information Technology,2022.0,2,2.66
109_CEA_Bachelor_of_Science_in_Architecture_2sem_2022-2023,CEA,Bachelor of Science in Architecture,2022.0,2,1.5
109_CEA_Bachelor_of_Science_in_Civil_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Civil Engineering,2022.0,2,2.0
109_CEA_Bachelor_of_Science_in_Electrical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electrical Engineering,2022.0,2,1.77
109_CEA_Bachelor_of_Science_in_Electronics_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electronics Engineering,2022.0,2,1.94
109_CEA_Bachelor_of_Science_in_Industrial_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Industrial Engineering,2022.0,2,1.78
109_CEA_Bachelor_of_Science_in_Mechanical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Mechanical Engineering,2022.0,2,2.21
109_COAS_Bachelor_of_Arts_in_Communication_2sem_2022-2023,COAS,Bachelor of Arts in Communication,2022.0,2,1.54
109_CTEC_Bachelor_of_Science_in_Industrial_Technology_2sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,2022.0,2,2.0
109_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_2sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,2022.0,2,2.1
10_CAHS_Bachelor_of_Science_in_Midwifery_2sem_2022-2023,CAHS,Bachelor of Science in Midwifery,2022.0,2,3.7
10_CAHS_Bachelor_of_Science_in_Nursing_2sem_2022-2023,CAHS,Bachelor of Science in Nursing,2022.0,2,1.5
10_CBA_Bachelor_of_Science_in_Hospitality_Management_2sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,2022.0,2,1.78
10_CBA_Bachelor_of_Science_in_Tourism_Management_2sem_2022-2023,CBA,Bachelor of Science in Tourism Management,2022.0,2,1.0
10_CCST_Bachelor_of_Science_in_Computer_Science_2sem_2022-2023,CCST,Bachelor of Science in Computer Science,2022.0,2,3.0
10_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_2sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2022.0,2,1.97
10_CCST_Bachelor_of_Science_in_Information_Technology_2sem_2022-2023,CCST,Bachelor of Science in Information Technology,2022.0,2,1.47
10_CEA_Bachelor_of_Science_in_Architecture_2sem_2022-2023,CEA,Bachelor of Science in Architecture,2022.0,2,1.71
10_CEA_Bachelor_of_Science_in_Civil_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Civil Engineering,2022.0,2,3.0
