Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Total_Students,Drop_Count,Drop_Rate
2024.0,2,CEA,Bachelor of Science in Architecture,1st Year,1,162,2,1.23
2022.0,1,CEA,Bachelor of Science in Architecture,2nd Year,2,122,0,0.0
2022.0,2,CEA,Bachelor of Science in Architecture,2nd Year,2,118,0,0.0
2023.0,1,CEA,Bachelor of Science in Architecture,2nd Year,2,136,1,0.74
2023.0,2,CEA,Bachelor of Science in Architecture,2nd Year,2,131,0,0.0
2024.0,1,CEA,Bachelor of Science in Architecture,2nd Year,2,192,3,1.56
2024.0,2,CEA,Bachelor of Science in Architecture,2nd Year,2,186,3,1.61
2022.0,1,CEA,Bachelor of Science in Architecture,3rd Year,3,104,0,0.0
2022.0,2,CEA,Bachelor of Science in Architecture,3rd Year,3,99,0,0.0
2023.0,1,CEA,Bachelor of Science in Architecture,3rd Year,3,114,3,2.63
2023.0,2,CEA,Bachelor of Science in Architecture,3rd Year,3,114,1,0.88
2024.0,1,CEA,Bachelor of Science in Architecture,3rd Year,3,130,5,3.85
2024.0,2,CEA,Bachelor of Science in Architecture,3rd Year,3,127,11,8.66
2022.0,1,CEA,Bachelor of Science in Architecture,4th Year,4,112,0,0.0
2022.0,2,CEA,Bachelor of Science in Architecture,4th Year,4,114,0,0.0
2023.0,1,CEA,Bachelor of Science in Architecture,4th Year,4,95,12,12.63
2023.0,2,CEA,Bachelor of Science in Architecture,4th Year,4,92,7,7.61
2024.0,1,CEA,Bachelor of Science in Architecture,4th Year,4,112,1,0.89
2024.0,2,CEA,Bachelor of Science in Architecture,4th Year,4,109,20,18.35
2022.0,1,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,90,0,0.0
2022.0,2,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,85,0,0.0
2023.0,1,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,88,3,3.41
2023.0,2,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,20,1,5.0
2024.0,1,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,78,5,6.41
2024.0,2,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,57,1,1.75
2022.0,1,CEA,Bachelor of Science in Civil Engineering,1st Year,1,217,2,0.92
2022.0,2,CEA,Bachelor of Science in Civil Engineering,1st Year,1,214,0,0.0
2023.0,1,CEA,Bachelor of Science in Civil Engineering,1st Year,1,275,2,0.73
2023.0,2,CEA,Bachelor of Science in Civil Engineering,1st Year,1,268,4,1.49
2024.0,1,CEA,Bachelor of Science in Civil Engineering,1st Year,1,165,0,0.0
2024.0,2,CEA,Bachelor of Science in Civil Engineering,1st Year,1,162,1,0.62
2022.0,1,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,204,1,0.49
2022.0,2,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,199,0,0.0
2023.0,1,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,208,7,3.37
2023.0,2,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,180,10,5.56
2024.0,1,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,282,6,2.13
2024.0,2,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,273,10,3.66
2022.0,1,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,173,2,1.16
2022.0,2,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,166,1,0.6
2023.0,1,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,190,2,1.05
2023.0,2,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,185,11,5.95
2024.0,1,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,157,9,5.73
2024.0,2,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,155,2,1.29
2022.0,1,CEA,Bachelor of Science in Civil Engineering,4th Year,4,166,1,0.6
2022.0,2,CEA,Bachelor of Science in Civil Engineering,4th Year,4,168,0,0.0
2023.0,1,CEA,Bachelor of Science in Civil Engineering,4th Year,4,147,17,11.56
2023.0,2,CEA,Bachelor of Science in Civil Engineering,4th Year,4,146,7,4.79
2024.0,1,CEA,Bachelor of Science in Civil Engineering,4th Year,4,173,24,13.87
2024.0,2,CEA,Bachelor of Science in Civil Engineering,4th Year,4,170,5,2.94
2023.0,1,CEA,Bachelor of Science in Computer Engineering,1st Year,1,33,1,3.03
2023.0,2,CEA,Bachelor of Science in Computer Engineering,1st Year,1,33,4,12.12
2024.0,1,CEA,Bachelor of Science in Computer Engineering,1st Year,1,37,0,0.0
2024.0,2,CEA,Bachelor of Science in Computer Engineering,1st Year,1,34,0,0.0
2023.0,1,CEA,Bachelor of Science in Computer Engineering,2nd Year,2,2,0,0.0
2023.0,2,CEA,Bachelor of Science in Computer Engineering,2nd Year,2,2,0,0.0
2024.0,1,CEA,Bachelor of Science in Computer Engineering,2nd Year,2,27,0,0.0
2024.0,2,CEA,Bachelor of Science in Computer Engineering,2nd Year,2,27,5,18.52
2023.0,1,CEA,Bachelor of Science in Computer Engineering,3rd Year,3,1,0,0.0
2023.0,2,CEA,Bachelor of Science in Computer Engineering,3rd Year,3,1,0,0.0
2024.0,1,CEA,Bachelor of Science in Computer Engineering,3rd Year,3,2,0,0.0
2024.0,2,CEA,Bachelor of Science in Computer Engineering,3rd Year,3,2,0,0.0
2024.0,1,CEA,Bachelor of Science in Computer Engineering,4th Year,4,1,0,0.0
2024.0,2,CEA,Bachelor of Science in Computer Engineering,4th Year,4,1,0,0.0
2022.0,1,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,56,0,0.0
2022.0,2,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,54,0,0.0
2023.0,1,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,79,21,26.58
2023.0,2,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,53,3,5.66
2024.0,1,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,60,1,1.67
2024.0,2,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,40,1,2.5
2022.0,1,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,131,0,0.0
2022.0,2,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,138,8,5.8
2023.0,1,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,137,2,1.46
2023.0,2,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,133,3,2.26
2024.0,1,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,142,2,1.41
2024.0,2,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,139,9,6.47
2022.0,1,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,133,0,0.0
2022.0,2,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,133,0,0.0
2023.0,1,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,134,4,2.99
2023.0,2,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,131,3,2.29
2024.0,1,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,126,0,0.0
2024.0,2,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,119,12,10.08
2022.0,1,CEA,Bachelor of Science in Electrical Engineering,3rd Year,3,119,0,0.0
2022.0,2,CEA,Bachelor of Science in Electrical Engineering,3rd Year,3,114,0,0.0
2023.0,1,CEA,Bachelor of Science in Electrical Engineering,3rd Year,3,115,0,0.0
