Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Total_Students,Irregular_Count,Drop_Count,INC_Count,Irregular_Rate,Drop_Rate,INC_Rate
2023.0,2,CEA,Bachelor of Science in Industrial Engineering,2nd Year,2,96,13,1,12,13.54,1.04,12.5
2024.0,1,CEA,Bachelor of Science in Industrial Engineering,2nd Year,2,90,15,0,15,16.67,0.0,16.67
2024.0,2,CEA,Bachelor of Science in Industrial Engineering,2nd Year,2,88,7,4,7,7.95,4.55,7.95
2022.0,1,CEA,Bachelor of Science in Industrial Engineering,3rd Year,3,89,23,2,23,25.84,2.25,25.84
2022.0,2,CEA,Bachelor of Science in Industrial Engineering,3rd Year,3,80,9,0,9,11.25,0.0,11.25
2023.0,1,CEA,Bachelor of Science in Industrial Engineering,3rd Year,3,85,13,4,9,15.29,4.71,10.59
2023.0,2,CEA,Bachelor of Science in Industrial Engineering,3rd Year,3,83,11,1,11,13.25,1.2,13.25
2024.0,1,CEA,Bachelor of Science in Industrial Engineering,3rd Year,3,91,9,0,9,9.89,0.0,9.89
2024.0,2,CEA,Bachelor of Science in Industrial Engineering,3rd Year,3,89,5,1,4,5.62,1.12,4.49
2022.0,1,CEA,Bachelor of Science in Industrial Engineering,4th Year,4,97,5,0,5,5.15,0.0,5.15
2022.0,2,CEA,Bachelor of Science in Industrial Engineering,4th Year,4,94,0,0,0,0.0,0.0,0.0
2023.0,1,CEA,Bachelor of Science in Industrial Engineering,4th Year,4,78,2,1,1,2.56,1.28,1.28
2023.0,2,CEA,Bachelor of Science in Industrial Engineering,4th Year,4,78,4,1,3,5.13,1.28,3.85
2024.0,1,CEA,Bachelor of Science in Industrial Engineering,4th Year,4,82,11,1,11,13.41,1.22,13.41
2024.0,2,CEA,Bachelor of Science in Industrial Engineering,4th Year,4,80,7,1,6,8.75,1.25,7.5
2022.0,1,CEA,Bachelor of Science in Mechanical Engineering,Irregular,-1,59,24,0,24,40.68,0.0,40.68
2022.0,2,CEA,Bachelor of Science in Mechanical Engineering,Irregular,-1,58,17,0,17,29.31,0.0,29.31
2023.0,1,CEA,Bachelor of Science in Mechanical Engineering,Irregular,-1,32,11,0,11,34.38,0.0,34.38
2023.0,2,CEA,Bachelor of Science in Mechanical Engineering,Irregular,-1,31,15,1,14,48.39,3.23,45.16
2024.0,1,CEA,Bachelor of Science in Mechanical Engineering,Irregular,-1,37,13,2,11,35.14,5.41,29.73
2024.0,2,CEA,Bachelor of Science in Mechanical Engineering,Irregular,-1,34,7,3,4,20.59,8.82,11.76
2022.0,1,CEA,Bachelor of Science in Mechanical Engineering,1st Year,1,134,16,0,16,11.94,0.0,11.94
2022.0,2,CEA,Bachelor of Science in Mechanical Engineering,1st Year,1,136,29,2,29,21.32,1.47,21.32
2023.0,1,CEA,Bachelor of Science in Mechanical Engineering,1st Year,1,220,28,2,27,12.73,0.91,12.27
